web-scraper-order,web-scraper-start-url,Category,Category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605350216-328,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Emami 7 Oils in One Pumpkin plus - 100ml,https://www.banglashoppers.com/emami-7-oils-in-one-pumpkin-plus-100ml.html,Emami 7 Oils in One Pumpkin plus - 100ml,90,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/p/u/pumpkin_100ml.jpg,0,0
1605349006-249,https://www.banglashoppers.com/,Kids & Baby Shop,https://www.banglashoppers.com/kids-baby-shop.html,Kodomo Professional Children Milk Teeth Toothbrush Age 3-6 Yrs - Blue,https://www.banglashoppers.com/kodomo-professional-children-milk-teeth-toothbrush-age-3-6-yrs-blue.html,Kodomo Professional Children Milk Teeth Toothbrush Age 3-6 Yrs - Blue,164,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a0011.jpg,0,0
1605347038-74,https://www.banglashoppers.com/,Perfume Shop,https://www.banglashoppers.com/perfume-shop.html,Gucci - Memoire Eau De Parfum For Women - 100mi,https://www.banglashoppers.com/gucci-memoire-eau-de-parfum-for-women-100mi.html,Gucci - Memoire Eau De Parfum For Women - 100mi,10485,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/g/u/gucci_-_memoire_eau_de_parfum_for_women_-_100mi_germany_.jpg,0,0
1605353382-531,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,Dove - Go Fresh Pomegranate Roll-On Anti-Perspirant Deodorant - 50ml,https://www.banglashoppers.com/dove-go-fresh-pomegranate-roll-on-anti-perspirant-deodorant-50ml.html,Dove - Go Fresh Pomegranate Roll-On Anti-Perspirant Deodorant - 50ml,400,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/d/o/dove_-_go_fresh_pomegranate_roll-on_anti-perspirant_deodorant_-_50ml.jpg,0,0
1605348923-244,https://www.banglashoppers.com/,Kids & Baby Shop,https://www.banglashoppers.com/kids-baby-shop.html,Kodomo Grape Flavor Children's Toothpaste - 40g,https://www.banglashoppers.com/kodomo-grape-flavor-children-s-toothpaste-40g.html,Kodomo Grape Flavor Children's Toothpaste - 40g,112,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a9905.jpg,0,0
1605349343-271,https://www.banglashoppers.com/,Kids & Baby Shop,https://www.banglashoppers.com/kids-baby-shop.html,Johnson's Baby Cotton Touch Wipes 56 Pieces,https://www.banglashoppers.com/johnson-s-baby-cotton-touch-wipes-56-pieces.html,Johnson's Baby Cotton Touch Wipes 56 Pieces,450,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/0/1/01_2_.jpg,0,0
1605351244-413,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Aveeno Skin Relief Dry Skin Body Wash - Chamomile - 532ml,https://www.banglashoppers.com/aveeno-skin-relief-dry-skin-body-wash-chamomile-532ml.html,Aveeno Skin Relief Dry Skin Body Wash - Chamomile - 532ml,1899,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/a/v/aveeno-chamomile-scented-18-fl-oz.-01.jpg,0,0
1605354840-695,https://www.banglashoppers.com/,Hot Offers!,https://www.banglashoppers.com/hot-offers.html,Everyday Lipstick - Combo 01,https://www.banglashoppers.com/everyday-lipstick-combo-01.html,Everyday Lipstick - Combo 01,999,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/e/v/everyday-lipstick-combo-01.jpg,0,0
1605350406-344,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Ogx - Renewing Argan Oil Of Morocco Extra Pnetrating Oil - 100ml,https://www.banglashoppers.com/ogx-renewing-argan-oil-of-morocco-extra-pnetrating-oil-100ml.html,Ogx - Renewing Argan Oil Of Morocco Extra Pnetrating Oil - 100ml,1250,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a1587_1.jpg,0,0
1605350351-338,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Emami - Kesh King Plus Herbal Hair Oil - 100ml,https://www.banglashoppers.com/emami-kesh-king-plus-herbal-hair-oil-100ml.html,Emami - Kesh King Plus Herbal Hair Oil - 100ml,175,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/e/m/emami_kesh_kingplus_harbal_hair_oil_100ml.png,0,0
1605351706-448,https://www.banglashoppers.com/,Bath & Body Shop,https://www.banglashoppers.com/bath-body-shop.html,Lifebuoy - 100% Stronger Germ ProtectionTotal 10 Soap - 100g,https://www.banglashoppers.com/lifebuoy-100-stronger-germ-protectiontotal-10-soap-100g.html,Lifebuoy - 100% Stronger Germ ProtectionTotal 10 Soap - 100g,32,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/l/f/lftsb100h.jpg,0,0
1605353441-545,https://www.banglashoppers.com/,Health & Beauty Shop,https://www.banglashoppers.com/health-and-beauty.html,Nivea Soft Light Moisturiser Cream - 100ml,https://www.banglashoppers.com/nivea-soft-light-moisturiser-cream-100ml.html,Nivea Soft Light Moisturiser Cream - 100ml,300,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/4/w/4w9a3724.jpg,0,0
1605349986-312,https://www.banglashoppers.com/,Hair Care Shop,https://www.banglashoppers.com/hair-care-shop.html,Pantene - Pro-V Advanced Hairfall Solution Hairfall Control Shampoo - 180ml,https://www.banglashoppers.com/pantene-pro-v-advanced-hairfall-solution-hairfall-control-shampoo-180ml.html,Pantene - Pro-V Advanced Hairfall Solution Hairfall Control Shampoo - 180ml,210,https://www.banglashoppers.com/pub/media/catalog/product/cache/062dabb9f46bd1e82f1111822ddf9f84/p/a/pantene_-_pro-v_advanced_hairfall_solution_hairfall_control_shampoo_-_180ml_2_.jpg,0,0
