web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,,,,,,,,
1603718324-331,https://www.daraz.com.bd/,Interior Accessories,https://www.daraz.com.bd/interior-accessories/,Car Tissue Box - Brown,https://www.daraz.com.bd/products/car-tissue-box-brown-i153638591-s1082286785.html?search=1,Car Tissue Box - Brown,2568,https://static-01.daraz.com.bd/p/c048b23c160f70d2907fab1876d99803.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718055-281,https://www.daraz.com.bd/,Exterior Accessories,https://www.daraz.com.bd/exterior-accessories/,Black Rear Door Electric Power Window Switch For Holden Commodore 1997-2002,https://www.daraz.com.bd/products/black-rear-door-electric-power-window-switch-for-holden-commodore-1997-2002-i153368700-s1081806026.html?search=1,Black Rear Door Electric Power Window Switch For Holden Commodore 1997-2002,2568,https://static-01.daraz.com.bd/p/88ad28fe7c2a25504f32412613efb58b.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717969-267,https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/automotive-exterior-vehicle-care/?spm=a2a0e.searchlist.breadcrumb.4.5e3f7bcajkpofL,Multi Purpose Spray Lubricant - 400ml,https://www.daraz.com.bd/products/multi-purpose-spray-lubricant-400ml-i151896426-s1079302079.html?search=1,Multi Purpose Spray Lubricant - 400ml,430,https://static-01.daraz.com.bd/p/bafc21fc6e9fc58f1705ee7472ced147.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718535-376,https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/oils-fluids/,Original flamingo  Fuel Gasoline Injector Cleaner Car System Petrol Saver Save Gas Oil Additive Restore Peak Performance 7.25OZ- 250ml,https://www.daraz.com.bd/products/original-flamingo-fuel-gasoline-injector-cleaner-car-system-petrol-saver-save-gas-oil-additive-restore-peak-performance-725oz-250ml-i124461411-s1044710523.html?search=1,Original flamingo  Fuel Gasoline Injector Cleaner Car System Petrol Saver Save Gas Oil Additive Restore Peak Performance 7.25OZ- 250ml,299,https://static-01.daraz.com.bd/p/86b551cd6686d7c118c9da7013e6f5b4.jpg_720x720q75.jpg_.webp,5,,,,,,,,
1603717184-103,https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/automotive-motorcycles/,Front Name Plate For Motorcycle -Black,https://www.daraz.com.bd/products/front-name-plate-for-motorcycle-black-i153262842-s1081654656.html?search=1,Front Name Plate For Motorcycle -Black,50,https://static-01.daraz.com.bd/p/55a5697fcb7ec745c3e8867c3573b64d.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718557-381,https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/oils-fluids/,"RACE 4T NANO XP, SN JASO MA2, 10W30, Fully Synthetic (1L)",https://www.daraz.com.bd/products/race-4t-nano-xp-sn-jaso-ma2-10w30-fully-synthetic-1l-i148728142-s1074836330.html?search=1,"RACE 4T NANO XP, SN JASO MA2, 10W30, Fully Synthetic (1L)",750,https://static-01.daraz.com.bd/p/e8536b062611f7d9f099760392b53d09.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603717244-114,https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/automotive-motorcycles/,Sticker for Bike Bike Apache/Yamaha/Honda/Suzu.ki Decoration,https://www.daraz.com.bd/products/sticker-for-bike-bike-apacheyamahahondasuzuki-decoration-i152826497-s1080948364.html?search=1,Sticker for Bike Bike Apache/Yamaha/Honda/Suzu.ki Decoration,89,https://static-01.daraz.com.bd/p/11a1cff809e9677ff753c65eb81afd3f.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603718438-356,https://www.daraz.com.bd/,Interior Accessories,https://www.daraz.com.bd/interior-accessories/,key ring Anti-Lost Key Ring - Blue,https://www.daraz.com.bd/products/key-ring-anti-lost-key-ring-blue-i153432853-s1081934910.html?search=1,key ring Anti-Lost Key Ring - Blue,150,https://static-01.daraz.com.bd/p/d3a51ea09beea9a7234d22d2c0633f7b.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716850-35,https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/motorcycle-riding-gear/,ADH Open Face Cap Helmet - RED,https://www.daraz.com.bd/products/adh-open-face-cap-helmet-red-i152716619-s1080794059.html?search=1,ADH Open Face Cap Helmet - RED,300,https://static-01.daraz.com.bd/p/1fc0171a1788b0256e8ead092191356d.jpg_720x720q75.jpg_.webp,0,,,,,,,,
1603716799-24,https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/motorcycle-riding-gear/,XBK-961 Full Face Helmet for Men Skullz -Matt BLUE,https://www.daraz.com.bd/products/xbk-961-full-face-helmet-for-men-skullz-matt-blue-i152744865-s1080840848.html?search=1,XBK-961 Full Face Helmet for Men Skullz -Matt BLUE,2400,https://static-01.daraz.com.bd/p/99864462bb70ab71455685032271f495.jpg_720x720q75.jpg_.webp,0,,,,,,,,
