web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1603860958-229,https://www.jadroo.com/,Health Care,https://www.jadroo.com/health-care,Baby Face Mask,https://www.jadroo.com/baby-face-mask,Baby Face Mask,35,https://www.jadroo.com/uploads/media/2020/07/mbXqEGGOag/feature-medium.jpg,0
1603860488-62,https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/mobile-computer/,Nokia 5310 DS White,https://www.jadroo.com/nokia-5310-ds-white,Nokia 5310 DS White,4099,https://www.jadroo.com/uploads/media/2020/09/Eh55ckMxVY/Untitled-medium.png,0
1603860676-134,https://www.jadroo.com/,Sports & Fitness,https://www.jadroo.com/sports-fitness,Sports Fitness Workout Waist Pack,https://www.jadroo.com/sport-waist-bags,Sports Fitness Workout Waist Pack,280,https://www.jadroo.com/uploads/media/2020/02/j8DbZddkp7/JRBLDWaist-BU.jpg,0
1603860649-125,https://www.jadroo.com/,Supermarket,https://www.jadroo.com/supermarket/,La-Espanola Olive Oil 1 ltr Pomace,https://www.jadroo.com/la-espanola-olive-oil-1-ltr-pomace,La-Espanola Olive Oil 1 ltr Pomace,660,https://www.jadroo.com/uploads/media/2020/10/AKLigIw7HQ/olive oil-medium.jpg,0
1603860559-88,https://www.jadroo.com/,Supermarket,https://www.jadroo.com/supermarket/,White Pepper (সাদা গোল মরিচ) 50gm,https://www.jadroo.com/white-pepper-50gm,White Pepper (সাদা গোল মরিচ) 50gm,30,https://www.jadroo.com/uploads/media/2020/10/i6hSTxh8wD/সাদা মরিচ 03-medium.jpg,0
1603863916-544,https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/kids-mom,Pampers Jumbo pack Large 9-14Kg (44 Diapers),https://www.jadroo.com/pampers-jumbo-pack-large-9-14kg-44-diapers,Pampers Jumbo pack Large 9-14Kg (44 Diapers),1048,https://www.jadroo.com/uploads/media/2020/09/GlRqpqrPE2/815ik3SUe7L._SL1500_ (1)-medium.jpg,0
1603860432-41,https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/mobile-computer/,Nokia 2.2 (3/32)GB Smart Mobile Phone,https://www.jadroo.com/nokia-22,Nokia 2.2 (3/32)GB Smart Mobile Phone,11999,https://www.jadroo.com/uploads/media/2020/02/4iVhHVzQOu/VN00333222black-medium.jpg,0
1603861384-316,https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/home-appliances,Panasonic AC Inverter 1.0 Ton CS-KS12 VKY-81 - White,https://www.jadroo.com/panasonic-ac-inverter-10-ton-cs-ks12-vky-81-white,Panasonic AC Inverter 1.0 Ton CS-KS12 VKY-81 - White,77400,https://www.jadroo.com/uploads/media/2020/09/8XJ7Al1kh4/Website Template-01-medium.jpg,0
1603863801-527,https://www.jadroo.com/,Men Fashion,https://www.jadroo.com/men-fashion,Eternal Love BD Luxury Musk 200 ml,https://www.jadroo.com/eternal-love-bd-luxury-musk-200-ml,Eternal Love BD Luxury Musk 200 ml,310,https://www.jadroo.com/uploads/media/2020/10/lgC7b72z9p/23-medium.jpg,0
1603860525-74,https://www.jadroo.com/,Supermarket,https://www.jadroo.com/supermarket/,Cubeb (কাবাব চিনি) 50gm,https://www.jadroo.com/cubeb-50gm,Cubeb (কাবাব চিনি) 50gm,145,https://www.jadroo.com/uploads/media/2020/10/ays72Q9uTt/ezgif.com-gif-maker-medium.jpg,0
1603863934-546,https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/kids-mom,Pampers Value Pack Large 9-14Kg (24 Diapers),https://www.jadroo.com/pampers-value-pack-large-9-14kg-24-diapers,Pampers Value Pack Large 9-14Kg (24 Diapers),469,https://www.jadroo.com/uploads/media/2020/09/rpF72enaBa/premium-care-pants-diapers-large-24-count-l-24-pampers-original-imafjrhezbmzdtgc-medium.jpeg,0
1603861275-303,https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/home-appliances,Sony KD-43X7500E 43 Inch 4K Ultra HD Smart TV,https://www.jadroo.com/sony-kd-43x7500e-43-inch-4k-ultra-hd-smart-tv,Sony KD-43X7500E 43 Inch 4K Ultra HD Smart TV,67840,https://www.jadroo.com/uploads/media/2020/08/ZRAahEhMdS/images-medium.jpg,0
1603863895-540,https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/kids-mom,Mini-Villa LED Light Princess Bedroom Handmade Doll House,https://www.jadroo.com/mini-villa-led-light-princess-bedroom-handmade-doll-house,Mini-Villa LED Light Princess Bedroom Handmade Doll House,2694,https://www.jadroo.com/uploads/media/2020/10/QttI1PqWS6/11601805349_621043134-medium.jpg,0
1603860297-6,https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/mobile-computer/,Smart 2-Port USB Car Charger,https://www.jadroo.com/car-charger-2-4a-output,Smart 2-Port USB Car Charger,249,https://www.jadroo.com/uploads/media/2020/02/zJTCYQ7ZjS/JRES-159-W.jpg,0
