web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1603795711-2649,https://www.othoba.com/,Women,https://www.othoba.com/womens-fashion,Women's Clothing,https://www.othoba.com/womens-clothing,Ladies Fashion Leggings Gray All Over Print WC201718L,https://www.othoba.com/ladies-fashion-leggings-gray-all-over-print-wc201718l-color,Ladies Fashion Leggings Gray All Over Print WC201718L,315,/Themes/Othoba/Content/images/othoba-loader-432.png,4.1
1603791470-1209,https://www.othoba.com/,Books & Stationery,https://www.othoba.com/books-stationery,দেশী বই,https://www.othoba.com/local-books,ইনফার্নো  হার্ডকভার,https://www.othoba.com/inferno,ইনফার্নো  হার্ডকভার,312,https://images.othoba.com/images/thumbs/0158601_-.jpeg,4.0
1603789122-486,https://www.othoba.com/,Food & Grocery,https://www.othoba.com/food-grocery,Offer Zone,https://www.othoba.com/food-grocery-offer-zone,PRAN Full Cream Milk Powder 500gm,https://www.othoba.com/pran-full-cream-milk-powder-500gm-4000000002,PRAN Full Cream Milk Powder 500gm,270,https://images.othoba.com/images/thumbs/0007438_pran-full-cream-milk-powder-500gm.jpeg,4.4
1603796721-2905,https://www.othoba.com/,Men,https://www.othoba.com/men,Men's Clothing,https://www.othoba.com/mens-clothing,Winner Men's Polo Shirt Navy And Black,https://www.othoba.com/winner-mens-polo-shirt-navy-and-black,Winner Men's Polo Shirt Navy And Black,368,/Themes/Othoba/Content/images/othoba-loader-432.png,4.1
1603795307-2505,https://www.othoba.com/,Women,https://www.othoba.com/womens-fashion,Footwear,https://www.othoba.com/womens-footwear,Walkar Ladies Flat-Back Belt Sandal,https://www.othoba.com/walkar-ladies-flat-back-belt-sandal-560311303,Walkar Ladies Flat-Back Belt Sandal,380,/Themes/Othoba/Content/images/othoba-loader-432.png,4.2
1603795618-2617,https://www.othoba.com/,Women,https://www.othoba.com/womens-fashion,Women's Clothing,https://www.othoba.com/womens-clothing,Ladies Padded Bra W-17-WB0003 Skin,https://www.othoba.com/ladies-padded-bra-w-17-,Ladies Padded Bra W-17-WB0003 Skin,240,/Themes/Othoba/Content/images/othoba-loader-432.png,4.1
1603790067-722,https://www.othoba.com/,Food & Grocery,https://www.othoba.com/food-grocery,Snacks,https://www.othoba.com/snacks,Sixers 15gm X 25pcs,https://www.othoba.com/sixers-15gm-x-25pcs,Sixers 15gm X 25pcs,250,https://images.othoba.com/images/thumbs/0303446_sixers-15gm-x-25pcs.jpeg,4.4
1603789525-591,https://www.othoba.com/,Food & Grocery,https://www.othoba.com/food-grocery,Meat & Fish,https://www.othoba.com/meat-fish,Taini Fish (টাটকিনি মাছ) 1KG,https://www.othoba.com/taini-fish-1kg,Taini Fish (টাটকিনি মাছ) 1KG,195,https://images.othoba.com/images/thumbs/0310513_taini-fish-1kg.jpeg,4.4
1603796574-2878,https://www.othoba.com/,Men,https://www.othoba.com/men,Men's Clothing,https://www.othoba.com/mens-clothing,Winner Men's Polo Shirt WC201725,https://www.othoba.com/winner-mens-polo-shirt-wc201725-wfs00404,Winner Men's Polo Shirt WC201725,600,/Themes/Othoba/Content/images/othoba-loader-432.png,4.1
1603792091-1426,https://www.othoba.com/,Electronics,https://www.othoba.com/electronics,Large Appliances,https://www.othoba.com/large-appliances,Passenger Lift,https://www.othoba.com/passenger-lift-ml003,Passenger Lift,null,/Themes/Othoba/Content/images/othoba-loader-432.png,0
1603789913-690,https://www.othoba.com/,Food & Grocery,https://www.othoba.com/food-grocery,Beverage,https://www.othoba.com/drinks-beverage,Tango 250ml,https://www.othoba.com/tango-250ml-tst00217,Tango 250ml,15,https://images.othoba.com/images/thumbs/0304895_tango-250ml.jpeg,4.7
1603787779-138,https://www.othoba.com/,More,https://www.othoba.com/miscellaneous,Offers,https://www.othoba.com/offers,Maxima HDPE Pipe Corporate Order,https://www.othoba.com/maxima-hdpe-pipe-corporate-order,Maxima HDPE Pipe Corporate Order,1800000,https://images.othoba.com/images/thumbs/0311568_maxima-hdpe-pipe-corporate-order.jpeg,0
1603796486-2859,https://www.othoba.com/,Men,https://www.othoba.com/men,Men's Watches,https://www.othoba.com/mens-watch,Skmei Men's Quartz Belt Wrist Watch 9147BB,https://www.othoba.com/skmei-mens-quartz-belt-wrist-watch-9147bb,Skmei Men's Quartz Belt Wrist Watch 9147BB,1672,/Themes/Othoba/Content/images/othoba-loader-432.png,4.0
