web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory,subcategory-href,product-link,product-link-href,product-name,product-price,product-image-src,rating
"1602741095-200","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI P30 PRO 8GB 256GB","https://phonesellbd.com/shop/huawei-p30-pro-8gb-256gb/","HUAWEI P30 PRO 8GB 256GB","৳ 65,990.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei_p30_pro_4.jpg","There are no reviews yet."
"1602740924-172","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","Original REMAX RB-200HB","https://phonesellbd.com/shop/original-remax-rb-200hb/","Original REMAX RB-200HB","৳ 2,280.00","https://phonesellbd.com/wp-content/uploads/2019/12/Remax-RB-200HB-4.jpg","There are no reviews yet."
"1602741367-243","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Xiaomi","https://phonesellbd.com/product-category/smartphone/xiaomi/","XIAOMI MI NOTE 10 6GB 128GB","https://phonesellbd.com/shop/xiaomi-mi-note-10/","XIAOMI MI NOTE 10 6GB 128GB","৳ 39,490.00","https://phonesellbd.com/wp-content/uploads/2019/12/Mi-Note-10-1.jpg","There are no reviews yet."
"1602740709-145","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Others Smartwatch","https://phonesellbd.com/product-category/smartwatch/others-smartwatch/","Original Y7 Long Standby Time Smart Watch","https://phonesellbd.com/shop/original-y7-long-standby-time-smart-watch/","Original Y7 Long Standby Time Smart Watch","৳ 1,690.00","https://phonesellbd.com/wp-content/uploads/2019/09/y7-Smartwatch-2.jpg","There are no reviews yet."
"1602741080-197","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI Y5 LITE 1GB 16GB (Official)","https://phonesellbd.com/shop/huawei-y5-lite-1gb-16gb-official/","HUAWEI Y5 LITE 1GB 16GB (Official)","৳ 8,990.00","https://phonesellbd.com/wp-content/uploads/2020/04/Huawei-Y5-Lite-1.jpg","There are no reviews yet."
"1602740916-171","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Wireless Headphone","https://phonesellbd.com/product-category/earphones-headphones/wireless-headphone/","QCY T9S TWS bluetooth 5.0 Earphone","https://phonesellbd.com/shop/qcy-t9s-tws-bluetooth-5-0-earphone/","QCY T9S TWS bluetooth 5.0 Earphone","৳ 1,890.00","https://phonesellbd.com/wp-content/uploads/2020/07/QCY-T9S-1.jpg","There are no reviews yet."
"1602741531-261","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Apple","https://phonesellbd.com/product-category/smartphone/apple/","Apple IPhone 11 Pro 256GB","https://phonesellbd.com/shop/apple-iphone-11-pro-256gb/","Apple IPhone 11 Pro 256GB","৳ 110,990.00","","There are no reviews yet."
"1602740981-181","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Earphone","https://phonesellbd.com/product-category/earphones-headphones/earphone/","Rock Zircon Stereo Earphone 3.5mm In Ear Earphone","https://phonesellbd.com/shop/rock-zircon-stereo-earphone-3-5mm-in-ear-earphone/","Rock Zircon Stereo Earphone 3.5mm In Ear Earphone","৳ 980.00","https://phonesellbd.com/wp-content/uploads/2020/08/Rock-zircon.jpg","There are no reviews yet."
"1602741089-199","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Huawei","https://phonesellbd.com/product-category/smartphone/huawei/","HUAWEI P30 PRO 8GB 256GB (Official)","https://phonesellbd.com/shop/huawei-p30-pro-8gb-256gb-official/","HUAWEI P30 PRO 8GB 256GB (Official)","৳ 89,990.00","https://phonesellbd.com/wp-content/uploads/2019/05/Huawei_p30_pro.jpg","There are no reviews yet."
"1602741247-224","https://phonesellbd.com/","Feature Phones","https://phonesellbd.com/product-category/feature-phones/","Oneplus","https://phonesellbd.com/product-category/smartphone/oneplus/","OnePlus 8 12GB 256GB","https://phonesellbd.com/shop/oneplus-8-12gb-256gb/","OnePlus 8 12GB 256GB","৳ 66,990.00","https://phonesellbd.com/wp-content/uploads/2020/07/oneplus-8-12gb-256gb.jpg","There are no reviews yet."
