web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating
1605178302-235,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,PRITECH PR-1040 Rechargeable Waterproof Hair Trimmer,https://www.pickaboo.com/pritech-pr-1040-rechargeable-waterproof-hair-trimmer.html,PRITECH PR-1040 Rechargeable Waterproof Hair Trimmer,1899,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/1/0/1040-1.jpg,0
1605178921-313,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,Samsung Metro 350,https://www.pickaboo.com/samsung-metro-350.html,Samsung Metro 350,4590,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/3/5/350.jpg,4.1
1605179185-338,https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/smartphone.html,Redmi Note 9 6GB/128GB,https://www.pickaboo.com/redmi-note-9-6gb-128gb.html,Redmi Note 9 6GB/128GB,21999,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/r/e/redmi-note-9-base-new.jpg,0
1605178753-295,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Sinbo Hand Mixer,https://www.pickaboo.com/sinbo-hand-mixer.html,Sinbo Hand Mixer,1650,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/b/-/b-1_4.jpg,0
1605178709-289,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,realme 7 Pro 8GB/128GB With Free T-Shirts,https://www.pickaboo.com/realme-7-pro.html,realme 7 Pro 8GB/128GB With Free T-Shirts,27990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/r/e/realme-7-pro-8gb-128gb-new-content-image.jpg,4.5
1605178785-301,https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/electronics-appliances.html,Nima 2 in 1 Electric Spice Grinder & Juicer - Silver,https://www.pickaboo.com/nima-2-in-1-electric-spice-grinder-juicer-silver.html,Nima 2 in 1 Electric Spice Grinder & Juicer - Silver,890,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/2/1/21-1_2.jpg,0
1605178856-310,https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/feature-phone.html,SAMSUNG Metro 313,https://www.pickaboo.com/samsung-b313e-metro-313.html,SAMSUNG Metro 313,2100,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/3/1/313.jpg,null
1605178570-271,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,HUGO BOSS JUST DIFFERENT MEN EDT 125 ML (737052714028),https://www.pickaboo.com/hugo-boss-125ml-just-different-edt-perfume-for-men.html,HUGO BOSS JUST DIFFERENT MEN EDT 125 ML (737052714028),3850,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/h/u/hugo-boss-just-diffrent.jpg,5
1605178688-287,https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/#,OPPO F17 Pro 8GB/128GB,https://www.pickaboo.com/oppo-f17-pro-8gb-128gb.html,OPPO F17 Pro 8GB/128GB,27990,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/o/p/oppo-f17-pro-8gb-128gb-final-content-image.jpg,4.6
1605178321-238,https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/lifestyle.html,PRITECH PR-2322 3 Level Adjustment Rechargeable Hair Trimmer,https://www.pickaboo.com/pritech-pr-2322-3-level-adjustment-rechargeable-hair-trimmer.html,PRITECH PR-2322 3 Level Adjustment Rechargeable Hair Trimmer,1799,https://b2b-pickaboocdn.s3-ap-southeast-1.amazonaws.com/media/catalog/product/cache/c9c3ae6e3f78df4924e8b3b9bf50d8e7/2/3/2322-1.jpg,0
