web-scraper-order,web-scraper-start-url,category,category-href,products-link,products-link-href,products-name,products-price,products-image-src,products-rating,products-review
1605166776-85,https://sindabad.com/,Electrical & Lighting,https://sindabad.com/electrical-lighting.html,"Control/On-Off Switch, 15A",https://sindabad.com/control-on-off-switch-15a.html,"Control/On-Off Switch, 15A",120,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/o/n/on.jpg,0,0
1605166919-127,https://sindabad.com/,Industrial Items,https://sindabad.com/industrial-items.html,"Air Grinding, 1/4 inches",https://sindabad.com/air-grinding-1-4-inches.html,"Air Grinding, 1/4 inches",1300,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/a/i/air_grinding_.jpg,0,0
1605166790-90,https://sindabad.com/,Electrical & Lighting,https://sindabad.com/electrical-lighting.html,"DB Box/Panel Board, 16 Inches x 12 Inches x 6 Inches",https://sindabad.com/bd-box-16-inches-x-12-inches-x-6-inches.html,"DB Box/Panel Board, 16 Inches x 12 Inches x 6 Inches",3000,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/w/e/website-image-grid-_sami_-recovereddfsgr.jpg,0,0
1605166836-104,https://sindabad.com/,Electrical & Lighting,https://sindabad.com/electrical-lighting.html,"Schneider Electric 250A, 3P, 36kA, MCCB (Fixed type Trip Unit)",https://sindabad.com/schneider-electric-250a-3p-36ka-mccb-fixed-type-trip-unit.html,"Schneider Electric 250A, 3P, 36kA, MCCB (Fixed type Trip Unit)",16000,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/3/_/3_9_25.jpg,0,0
1605167231-209,https://sindabad.com/,Personal Hygiene & Beauty,https://sindabad.com/personal-hygiene-beauty.html,Lux Soft Touch Mini Soap,https://sindabad.com/lux-soft-touch-mini-soap.html,Lux Soft Touch Mini Soap,10,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/5/8/58f59a36-6713-4883-bd34-943d1f3b14e8.jpg,0,0
1605167311-228,https://sindabad.com/,Grocery & Essentials,https://sindabad.com/grocery-essentials.html,"ACI Pure Fish Curry, 20gm",https://sindabad.com/pure-fish-curry-20gm.html,"ACI Pure Fish Curry, 20gm",10,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/c/o/copy-of-aci-pure-fish-curry-design-_3d_.jpg,0,0
1605166684-58,https://sindabad.com/,Electronics & Appliances,https://sindabad.com/electronics-appliances.html,"Crompton Geyser, Arno Neo, 25L",https://sindabad.com/crompton-geyser-arno-neo-25l.html,"Crompton Geyser, Arno Neo, 25L",9200,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/i/m/img1620_1.jpg,0,0
1605166832-103,https://sindabad.com/,Electrical & Lighting,https://sindabad.com/electrical-lighting.html,"Schneider Electric 1600A, 3P, 50kA, MCCB (Adjustable type Trip Unit)",https://sindabad.com/schneider-nsx-adjustable-mccb-1600a-50ka.html,"Schneider Electric 1600A, 3P, 50kA, MCCB (Adjustable type Trip Unit)",150000,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/1/_/1_20_16.jpg,0,0
1605167307-227,https://sindabad.com/,Grocery & Essentials,https://sindabad.com/grocery-essentials.html,"ACI Pure Biriyani Masala, 40gm",https://sindabad.com/aci-pure-biriyani-masala-40-gm.html,"ACI Pure Biriyani Masala, 40gm",55,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/a/c/aci-pure-shahi-biryani-masala-40-gm_1.jpg,0,0
1605166893-119,https://sindabad.com/,Industrial Items,https://sindabad.com/industrial-items.html,"SS Royal Bolt, 10x100mm",https://sindabad.com/ss-royal-bolt-10x100mm.html,"SS Royal Bolt, 10x100mm",25,https://sindabad.com/media/catalog/product/cache/15869ca78e92508fe510db2b345701fc/s/s/ss-304-garde-pin-type-wedge-anchor-bolt-500x500_2_1.jpg,0,0
